"champion","matchduration","kills","deaths","assists","goldearned","killingsprees","physicaldamagedealttochampions","magicdamagedealttochampions","physicaldamagetaken","magicdamagetaken","truedamagedealttochampions","truedamagetaken","wardsplaced","wardskilled","minionskilled","neutralminionskilled"
"Miss Fortune",2058.75659397123,8.2819707695821,6.55443594427952,8.44850422470884,12948.2048698333,1.94473624115095,17787.1652203699,5792.48235898607,12691.7965288879,7865.47051267413,309.901004795615,673.533654944051,7.10296300525234,0.88630395067367,188.504881251427,9.26981045900891
"Mordekaiser",1980.11299335747,6.90233015850701,6.86535690436861,8.74301479633079,11785.0988296489,1.62907250553544,4141.28689417636,16591.1175974414,11952.9753980248,7401.04452957509,360.367940111763,869.779249991214,6.9888588198081,0.686043650933118,159.584929532914,10.3873756721611
"Morgana",2037.21664029062,3.12133582706902,5.99120598496565,13.662266661871,10030.8386415135,0.65359853253246,1432.91804841204,12571.6102758695,10362.9941103478,8097.4864672877,255.556738481459,633.256707909218,20.4204402402618,2.46632557637665,53.8133384886523,1.66274322914793
"Nami",2032.88017502524,1.71491080444295,5.15446283773446,16.1120222759401,9459.68841222729,0.314035678222821,1752.52088369389,7517.68526054894,9261.66870658793,6910.0576787736,113.208469753068,508.762063584346,24.2158134696001,3.09069489917689,14.4301887947125,0.334047305773997
"Nasus",2037.41731227946,5.23825576123169,5.56084530920417,6.76422812309027,11834.7992587774,1.22808366353224,11886.5006801112,6545.66225087232,20926.8566641039,11715.8411496836,167.120389536144,1776.32688706212,6.41760797997122,0.474500758964654,191.180456167327,7.01074378536085
"Nautilus",2015.04577305946,2.78811163574028,6.00938317644582,13.4418212986076,9559.95143003218,0.577636762804126,2764.86824456407,8986.71094102433,14791.7220384349,8816.12423686506,276.43950557878,986.329313404108,17.748323358696,1.95627199181979,58.4185287660521,10.0256834380921
"Nidalee",1977.65136066138,7.10437478470548,6.42104719255942,7.34054426455391,11660.9565621771,1.65535652772993,1258.71215983465,16731.726455391,16892.7404409232,8427.88095074061,469.214398897692,718.259627971064,7.72604202549087,2.12301067860834,71.3332070272132,54.9656906648295
"Nocturne",2017.8908396121,7.50037852842568,6.29572082627348,8.07858971123689,12729.9156422366,1.76228414867155,14043.1382890515,2596.45308050038,22451.2925123472,7826.46951944915,927.276361801074,977.151771873535,7.30397635098598,1.80590504344064,67.0143840801759,74.7963877573092
"Nunu",2006.80382814425,3.74681672554013,5.69251622443112,11.7897806621211,10804.3401790849,0.843916865193461,1406.35036556313,10526.0364741641,22892.7469810236,10381.0421424464,440.497330156905,1143.52172841535,11.5947588926312,1.96212930255483,56.2361784276678,45.739587611928
"Olaf",2022.6848140207,6.53067959354899,6.46831360119325,7.19448121562413,11734.9986762375,1.52788291227743,13603.623846369,410.544047730027,20652.7139181505,10140.6988160716,5819.54723594668,1313.42490910786,7.68039526428638,0.880693576955346,145.722289549734,22.3258506572201
"Orianna",1998.84308293215,5.84440003633391,5.65825688073395,10.1782178217822,11783.8298891816,1.34885094013989,1256.57548369516,18664.3468525752,8550.85112180943,7636.17238168771,355.991779453175,653.166977018803,8.72054682532473,0.951766736306658,177.53601598692,10.4229494050322
"Pantheon",2018.44929680217,8.08616706521299,6.6264540185628,7.89689133871033,11573.8385482106,1.90309244923601,16633.859826531,2325.90013374944,15567.9355368216,9305.76618165606,688.936185303773,1087.59623880355,7.91476512787257,1.00988935273376,104.206805009525,26.8499371782921
"Poppy",2057.96734743794,7.36969548734255,6.56964656964657,6.02482573070808,11570.3908523909,1.71591048061636,6848.06640577229,10984.3775223187,17039.3106273695,8656.16203986792,750.233215115568,1127.91769597652,7.9733398556928,0.993273816803229,102.515714809832,30.6443683502507
"Quinn",2055.66711089289,8.38577540857123,7.20298800589184,6.96906782633093,12474.1867152977,1.97152276074911,20673.1356526619,760.386687241355,13219.8978045872,8572.39706810689,357.482569965631,771.191484884618,7.1581679175142,0.774637020411026,173.673914568282,9.1902223469173
"Rammus",2057.1244072673,4.71202514785018,6.31205711545634,12.6408972241462,11392.3630454473,1.07139432042197,3705.31940966487,12678.5493633118,21153.4258617934,9780.91619159252,575.694283126432,1713.47429271671,7.93899515157973,1.51467845916138,59.4121157227343,50.8148542809953
"Rek'Sai",1990.17370822028,5.15966486776588,5.4458093562718,10.1607382450282,11446.861415069,1.19633859089418,8666.40791317571,3794.04892811354,24855.3362652434,9958.79969587644,1297.50573958675,1154.21315483467,8.63916634365962,2.03187334148305,48.8971943111005,66.9847043740123
"Renekton",1992.124408881,5.85918539988074,5.73854858616816,7.63345768212012,11984.0012203747,1.37382296245961,16812.4347862264,2326.36336657005,22006.2091001123,11164.00026349,276.419808900415,1585.71857881818,8.75783882733085,0.774632847494765,196.484128194816,9.24454645051242
"Rengar",2008.42788326301,8.28067862165963,6.92136075949367,6.98635724331927,12512.9632383966,1.8954641350211,16542.6292721519,1568.99423347398,19853.0466420534,7846.03438818565,659.243917018284,869.081012658228,6.71012658227848,1.87554500703235,81.7274085794655,61.6505450070323
"Riven",1985.92400572417,7.76071790590901,6.51218372985113,5.89823703615368,12330.8730348021,1.80187029197225,19247.5205215352,46.171347365492,15557.8849005227,7944.93153856856,280.159471707113,953.621737920617,8.31866515612267,0.654284181026772,184.802784568601,15.5194780672987
"Rumble",2037.53845711658,6.32547712117728,6.30466773971028,8.65917452287882,11137.3553115659,1.48953782478731,1241.7245918602,22455.9684985054,13905.9739595309,8651.88353644516,161.996895838124,880.875258680156,9.21412968498505,0.582490227638538,152.558461715337,3.44952862727064
"Ryze",1975.25276752768,6.01734317343173,6.77890528905289,6.82158671586716,10997.4056580566,1.38284132841328,1545.54969249692,19511.4814883149,13467.0710947109,9243.80645756457,168.573370233702,871.959717097171,7.55621156211562,0.615313653136531,160.342558425584,6.729950799508
